,Title,Authors,Categories,Keywords,Description,Type of (possible) format,,,,,,,,,
10,"Simulations of POPC lipid bilayer in water solution at various NaCl, KCl and CaCl2 concentrations using ECC-POPC force field","['by Melcr, Josef', 'Melcr, Josef', 'Melcr, Josef']","['Biophysics', 'Biochemistry', 'Physical Sciences not elsewhere classified', 'Medicine', 'Biotechnology', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Cancer', 'Computational Biology']","['NaCl', 'simulation length 300 ns temperature 313 K', 'POPC lipid bilayer', 'CaCl 2 concentrations', 'names report molar fraction', 'KCl', 'SPC', 'Gromac', 'ECC-POPC force field parameters', 'ECC-POPC force field Classical', 'water solution']","Classical molecular dynamics simulations of a POPC lipid bilayer in water solution at various NaCl, KCl and CaCl2 concentrations using ECC-POPC force field parameters, SPC/E water model and ECC-ions.
file names report molar fraction of cations (i.e. not bulk concentrations)
simulations performed with Gromacs 5.1.4 (*.xtc files) and openMM 7 (*.dcd files)
simulation length 300 ns
temperature 313 K (otherwise noted)
Gromacs simulation setting is in the file npt_lipid_bilayer.mdp",.xtc,,,,,,,,,
11,Atomistic Fingerprint of Hyaluronan-CD44 Binding: Clustering Simulations,"['by Vuorio, Joni Vattulainen, Ilpo Martinez-Seara Monne, Hector', 'Vuorio, Joni', 'Vuorio, Joni', 'Vattulainen, Ilpo', 'Vattulainen, Ilpo', 'Martinez-Seara Monne, Hector', 'Martinez-Seara Monne, Hector']",['Uncategorized'],['zenodo'],"Simulation files (Gromacs 4.6.7 format) for the ""Clustering"" simulations in Ref. [1]. There are two replicas marked with ""_1"" and ""_2"".
Files include:
-trajectories (.xtc) that are saved every 100ps 
-initial structures (.gro), 
-run input files (.tpr)
-checkpoint files (.cpt)
-simulation parameter files (.mdp)
-system topology file (.top)
-topology files included in the system topology file (.itp)
[1] Vuorio J. et al., Atomistic Fingerprint of Hyaluronan-CD44 Binding, PLOS Comp. Biol., 2017. (Submitted)",.xtc,,,,,,,,,
12,Fs MD Trajectories,"['by Robert T. McGibbon', 'Robert T. McGibbon']","['Computational Biology', 'Biophysics']",['molecular-dynamics'],"This dataset consists of 28 molecular dynamics trajectories of Fs peptide (Ace-A_5(AAARA)_3A-NME), a widely studied model system for protein folding. Each trajectory is 500 ns in length, and saved at a 50 ps time interval (14 us aggegrate sampling). The simulations were performed using the AMBER99SB-ILDN force field with GBSA-OBC implicit solvent at 300K, starting from randomly sampled conformations from an initial 400K unfolding simulation. The simulations were performed with OpenMM 6.0.1.

The files in this dataset include the 28 trajectories in xtc format, the scripts used setup and run the simulations, and the starting conformations in .pdb format.",.xtc,,,,,,,,,
13,"GROMOS-CKP POPC Bilayer Simulation (Last 100 ns, 310 K )","['by ANTONIO PEON', 'ANTONIO PEON', 'ANTONIO PEON']","['Biophysics', 'Chemical Sciences not elsewhere classified', 'Sociology', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Computational Biology']",['GROMOS-CKP POPC Bilayer'],"Simulation of a POPC bilayer of 500 lipids (250 per leaflet) is simulated for 500 ns using Gromacs v2018.3 in water solution with Na+ counterions. The GROMOS-CKP model is employed for lipids and SCP Water Model .
Trajectory (.xtc) is for the last 100 ns of a simulation of 500 ns with data saved every 10 ps. Additionally, the topology (.top, .itp), simulation parameter file (.mdp), index file (.ndx),  portable binary run input file (.tpr) and the energy output file (.edr) are provided.",.xtc,,,,,,,,,
14,Molecular dynamics simulations of lipid bilayers containing POPC and POPS with the lipid17 force field and ff99 ions,"['by Melcr, Josef', 'Melcr, Josef', 'Melcr, Josef']","['Biophysics', 'Biochemistry', 'Physical Sciences not elsewhere classified', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Computational Biology']","['POPC', 'lipid 17 force field', 'POPS', 'ff 99 ions', 'counterion', 'simulation length 1000 ns', 'CaCl 2 concentrations', 'TIP 3p water model', '1 microsecond temperature 298 K Gromacs simulation', 'Molecular dynamics simulations', 'ff 99 ions Classical', 'names report', 'lipid bilayers', 'water solution', 'dynamics simulations', 'Lipid 17 force field parameters']","Classical molecular dynamics simulations of various mixtures of POPC:POPS lipid bilayers in water solution at various NaCl, KCl and CaCl2 concentrations, with Na+ counterions (and K+ counterions when noted with ""_KCl"" suffix).
Lipid17 force field parameters used for lipids, TIP3p water model and ff99 ions.
The file names report the number of additional cations.
simulations performed with Gromacs 2018.0 (*.xtc files)
simulation length 1000 ns = 1 microsecond
temperature 298 K
Gromacs simulation setting is in the file npt_lipid_bilayer.mdp",.xtc,,,,,,,,,
15,"Atomistic Fingerprint of Hyaluronan-CD44 Binding: Unbound Simulations, Set 2","['by Vuorio, Joni Vattulainen, Ilpo Martinez-Seara Monne, Hector', 'Vuorio, Joni', 'Vuorio, Joni', 'Vattulainen, Ilpo', 'Vattulainen, Ilpo', 'Martinez-Seara Monne, Hector', 'Martinez-Seara Monne, Hector']","['Physical Sciences not elsewhere classified', 'Pharmacology', 'Evolutionary Biology', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Marine Biology', 'Science Policy', 'Computational Biology']","['Unbound', 'Atomistic', 'Gromacs 4.6.7 format', '2 Simulation \xa0files', 'system topology', 'Hyaluronan-CD 44 Binding', 'Fingerprint', 'PLOS', 'simulation']","Simulation files (Gromacs 4.6.7 format) for the ""Unbound"" simulations in Ref. [1]. There are two replicas marked with ""_4""  and ""_5"".
Files include:
-trajectories (.xtc) that are saved every 100ps 
-initial structures (.gro), 
-run input files (.tpr)
-checkpoint files (.cpt)
-simulation parameter files (.mdp)
-system topology file (.top)
-topology files included in the system topology file (.itp)
[1] Vuorio J. et al., Atomistic Fingerprint of Hyaluronan-CD44 Binding, PLOS Comp. Biol., 2017. (Submitted)",.xtc,,,,,,,,,
16,Atomistic Fingerprint of Hyaluronan-CD44 Binding: Gathering Simulations,"['by Vuorio, Joni Vattulainen, Ilpo Martinez-Seara Monne, Hector', 'Vuorio, Joni', 'Vuorio, Joni', 'Vattulainen, Ilpo', 'Vattulainen, Ilpo', 'Martinez-Seara Monne, Hector', 'Martinez-Seara Monne, Hector']",['Uncategorized'],['zenodo'],"Simulation files (Gromacs 4.6.7 format) for the ""Gathering"" simulations in Ref. [1].
Files include:
-trajectories (.xtc) that are saved every 100ps 
-initial structures (.gro), 
-run input files (.tpr)
-checkpoint files (.cpt)
-simulation parameter files (.mdp)
-system topology file (.top)
-topology files included in the system topology file (.itp)
[1] Vuorio J. et al., Atomistic Fingerprint of Hyaluronan-CD44 Binding, PLOS Comp. Biol., 2017. (Submitted)",.xtc,,,,,,,,,
17,"Molecular dynamics simulations of lipid bilayers containing POPC and POPS with the lipid17 force field, NaCl and KCl salt concentrations","['by Melcr, Josef', 'Melcr, Josef', 'Melcr, Josef']","['Biophysics', 'Biochemistry', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Computational Biology']","['POPC', 'lipid 17 force field', 'NaCl', 'POPS', 'counterion', 'simulation length 1000 ns', 'CaCl 2 concentrations', 'TIP 3p water model', 'KCl salt concentrations Classical', 'Dang ions', '1 microsecond temperature 298 K Gromacs simulation', 'Molecular dynamics simulations', 'names report', 'lipid bilayers', 'water solution', 'Lipid 17 force field parameters', 'dynamics simulations']","Classical molecular dynamics simulations of various mixtures of POPC:POPS lipid bilayers in water solution at various NaCl, KCl and CaCl2 concentrations, with Na+ counterions (and K+ counterions when noted with ""_KCl"" suffix).
Lipid17 force field parameters used for lipids, TIP3p water model and Dang ions.
The file names report the number of additional cations.
simulations performed with Gromacs 2018.0 (*.xtc files)
simulation length 1000 ns = 1 microsecond
temperature 298 K
Gromacs simulation setting is in the file npt_lipid_bilayer.mdp",.xtc,,,,,,,,,
18,A Biosensor of Src Family Kinase Conformation by Exposable Tetracysteine Useful for Cell-Based Screening,"['Sevgi Irtegun', '', '', '', '']","['Biophysics', 'Biochemistry', 'Space Science', 'Physical Sciences not elsewhere classified', 'Medicine', 'Biotechnology', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Inorganic Chemistry', 'Infectious Diseases', 'Plant Biology', 'Virology', 'Computational Biology']","['', '', '', '', '', '', '', '', '', '']",No description found,.xtc,,,,,,,,,
19,"Atomistic Fingerprint of Hyaluronan-CD44 Binding: Weak E-field Simulations, Upright Mode","['by Vuorio, Joni Vattulainen, Ilpo Martinez-Seara Monne, Hector', 'Vuorio, Joni', 'Vuorio, Joni', 'Vattulainen, Ilpo', 'Vattulainen, Ilpo', 'Martinez-Seara Monne, Hector', 'Martinez-Seara Monne, Hector']","['Physical Sciences not elsewhere classified', 'Medicine', 'Pharmacology', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Science Policy', 'Infectious Diseases', 'Computational Biology']","['Gromacs 4.6.7 format', 'Weak E-field Simulations', 'Atomistic', 'Upright Mode Simulation \xa0files', 'system topology', 'Hyaluronan-CD 44 Binding', 'Fingerprint', 'PLOS', 'simulation']","Simulation files (Gromacs 4.6.7 format) for the ""E-field weak, upright mode"" simulations in Ref. [1]. There are 20 replicas marked with ""_1"" , ""_2"", etc.
Files include:
-trajectories (.xtc) that are saved every 100ps 
-initial structures (.gro), 
-run input files (.tpr)
-checkpoint files (.cpt)
-simulation parameter files (.mdp)
-system topology file (.top)
-topology files included in the system topology file (.itp)
[1] Vuorio J. et al., Atomistic Fingerprint of Hyaluronan-CD44 Binding, PLOS Comp. Biol., 2017. (Submitted)",.xtc,,,,,,,,,
20,"Atomistic Fingerprint of Hyaluronan-CD44 Binding: Weak E-field Simulations, Crystallographic Mode","['by Vuorio, Joni Vattulainen, Ilpo Martinez-Seara Monne, Hector', 'Vuorio, Joni', 'Vuorio, Joni', 'Vattulainen, Ilpo', 'Vattulainen, Ilpo', 'Martinez-Seara Monne, Hector', 'Martinez-Seara Monne, Hector']",['Uncategorized'],['zenodo'],"Simulation files (Gromacs 4.6.7 format) for the ""E-field weak, crystallographic mode"" simulations in Ref. [1]. There are 20 replicas marked with ""_1"" , ""_2"", etc.
Files include:
-trajectories (.xtc) that are saved every 100ps 
-initial structures (.gro), 
-run input files (.tpr)
-checkpoint files (.cpt)
-simulation parameter files (.mdp)
-system topology file (.top)
-topology files included in the system topology file (.itp)
[1] Vuorio J. et al., Atomistic Fingerprint of Hyaluronan-CD44 Binding, PLOS Comp. Biol., 2017. (Submitted)",.xtc,,,,,,,,,
21,"Atomistic Fingerprint of Hyaluronan-CD44 Binding: Weak E-field Simulations, Parallel Mode","['by Vuorio, Joni Vattulainen, Ilpo Martinez-Seara Monne, Hector', 'Vuorio, Joni', 'Vuorio, Joni', 'Vattulainen, Ilpo', 'Vattulainen, Ilpo', 'Martinez-Seara Monne, Hector', 'Martinez-Seara Monne, Hector']","['Physical Sciences not elsewhere classified', 'Medicine', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Science Policy', 'Infectious Diseases', 'Computational Biology']","['Gromacs 4.6.7 format', 'Weak E-field Simulations', 'Atomistic', 'simulation', 'system topology', 'Hyaluronan-CD 44 Binding', 'Fingerprint', 'PLOS', 'Parallel Mode Simulation \xa0files']","Simulation files (Gromacs 4.6.7 format) for the ""E-field weak, parallel mode"" simulations in Ref. [1]. There are 20 replicas marked with ""_1"" , ""_2"", etc.
Files include:
-trajectories (.xtc) that are saved every 100ps 
-initial structures (.gro), 
-run input files (.tpr)
-checkpoint files (.cpt)
-simulation parameter files (.mdp)
-system topology file (.top)
-topology files included in the system topology file (.itp)
[1] Vuorio J. et al., Atomistic Fingerprint of Hyaluronan-CD44 Binding, PLOS Comp. Biol., 2017. (Submitted)",.xtc,,,,,,,,,
22,"POPC @ 310K, Model by Ulmschneider and Ulmschneider","['by Javanainen, Matti', 'Javanainen, Matti', 'Javanainen, Matti']",['Uncategorized'],['zenodo'],"Files required for a simulation of a POPC bilayer and the resulting trajectories. The POPC model is that by Ulmschneider and Ulmschneider [1]. The structure and topology files are downloaded from Lipidbook [2]. The files (xtc and mdp) with '_dc' suffix are simulated with dispersion correction applied to both energy and pressure whereas the files without this suffix do not use this correction.
This data is used in the project ""Matching lipid force fields with NMR data"", see: http://nmrlipids.blogspot.fi 
[1] J.P. Ulmschneider & M.B. Ulmschneider, United Atom Lipid Parameters for Combination with the Optimized Potentials for Liquid Simulations All-Atom Force Field, JCTC 2009, 5(7), 1803–1813
[2] http://lipidbook.bioch.ox.ac.uk/package/show/id/52.html",.xtc,,,,,,,,,
23,Atomistic trajectories from ab-initio molecular dynamics simulations of wetted TiO2 nanoparticle,"['by Brandt, Erik Agosta, Lorenzo Lyubartsev, Alexander', 'Brandt, Erik', 'Brandt, Erik', 'Agosta, Lorenzo', 'Agosta, Lorenzo', 'Lyubartsev, Alexander', 'Lyubartsev, Alexander']","['Biophysics', 'Space Science', 'Medicine', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Computational Biology']","['TiO2 nanoparticles; ab-initio MD, TiO2 surface, water splitting']","This repository contains atomistic trajectories from ab-initio molecular dynamics simulations of water and TiO2 nanoparticle described in the paper:
E. G. Brandt, L. Agosta and A.P.Lyubartsev, "" Reactive wetting properties  of TiO2 nanoparticles predicted by ab initio molecular dynamics simulations"", Nanoscale, 8, 13385-13398 (2016) DOI: 10.1039/c6nr02791a
The trajectories are saved in the .xtc format, and initial structures with specification of atom types are given in the .pdb format.
The name of each file contains brief information about the simulated system:
TiO2 : composition of the nanoparticle
n24  : number of TiO2 units in the nanoparticle
anatase/brookite/rutile : type of crystall structure
- a number 0 - 30 : number of water molecules in the simulation
2fs - the time step
For more details, see the referred paper",.xtc,,,,,,,,,
24,Preparation and Application of a Xanthate-Modified Thiourea Chitosan Sponge for the Removal of Pb(II) from Aqueous Solutions,"['Nana Wang', '', '', '', '']","['Biophysics', 'Biochemistry', 'Space Science', 'Environmental Sciences not elsewhere classified', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Plant Biology']","['', '', '', '', '', '', '', '', '', '']",No description found,.xtc,,,,,,,,,
25,"Molecular dynamics simulations of lipid bilayers containing POPC and POPS (5:1) with ECC-lipids force field, and Na+ (K+) counterions at various additional concentrations of NaCl and KCl","['by Melcr, Josef', 'Melcr, Josef', 'Melcr, Josef']","['Biophysics', 'Biochemistry', 'Genetics', 'Biotechnology', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Computational Biology']","['POPC', '1 microsecond temperature 298 K Simulations', 'Na', 'NaCl', 'POPS', 'concentration', 'counterion', 'simulation length 1000 ns', 'KCl Classical', 'ECC-lipids force field parameters', 'Molecular dynamics simulations', 'lipid bilayers', 'water solution', 'SPC', 'dynamics simulations', 'ECC-lipids force field']","Classical molecular dynamics simulations of various mixtures of POPC:POPS lipid bilayers in water solution with Na+ counterions (or with K+ counterions when noted with ""_KCl"" suffix) and an additional concentration of NaCl or KCl.
The numbers in the file names denote the number of additional cations.
ECC-lipids force field parameters used for lipids, SPC/E water model and ECC-ions, all parameters available at https://github.com/jmelcr/ecc_lipids
simulations performed with Gromacs 2018.0 (*.xtc files)
simulation length 1000 ns = 1 microsecond
temperature 298 K
Simulations without additional salts are at a separate deposit: 10.5281/zenodo.1488094.",.xtc,,,,,,,,,
26,"Molecular dynamics simulations of lipid bilayers containing POPC and POPS (5:1) with ECC-lipids force field, and Na+ (K+) counterions at various CaCl2 additional concentrations","['by Melcr Josef', 'Melcr Josef', 'Melcr Josef']","['Biophysics', 'Biochemistry', 'Genetics', 'Biotechnology', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Cancer', 'Computational Biology']","['POPC', '1 microsecond temperature 298 K Simulations', 'Na', 'POPS', 'CaCl 2', 'counterion', 'simulation length 1000 ns', 'concentrations Classical', 'CaCl 2.', 'ECC-lipids force field parameters', 'Molecular dynamics simulations', 'lipid bilayers', 'water solution', 'SPC', 'dynamics simulations', 'ECC-lipids force field']","Classical molecular dynamics simulations of various mixtures of POPC:POPS lipid bilayers in water solution with Na+ counterions (or with K+ counterions when noted with ""_KCl"" suffix) and an additional concentration of CaCl2.
The numbers in the file names denote the number of additional Ca2+ cations.
ECC-lipids force field parameters used for lipids, SPC/E water model and ECC-ions, all parameters available at https://github.com/jmelcr/ecc_lipids
simulations performed with Gromacs 2018.0 (*.xtc files)
simulation length 1000 ns = 1 microsecond
temperature 298 K
Simulations without additional salts are at a separate deposit: 10.5281/zenodo.1488094.",.xtc,,,,,,,,,
27,"Simulation data for CHARMM36 POPC bilayer, 100 lipids/leaflet, 940 mM NaCl, 310K, GROMACS 5.1.4","['by Nencini, Ricky', 'Nencini, Ricky', 'Nencini, Ricky']","['Biophysics', 'Biotechnology', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Computational Biology']","['ndash', 'Charmm 36 force field parameters', 'lipid', 'simulation', 'FF', 'GROMACS 5.1.4 Simulations', '940 mM NaCl', 'tip 3p model', 'POPC bilayer', 'http', 'data', 'SOD', 'CHARMM 36 POPC bilayer']","Simulations of a POPC bilayer with 940 mM of NaCl. 
The fifth from the set of 6 simulations.
The goal was to study the effect of scaling the CHARMM FF on the ion binding.
Done for the NMRlipids project, see 
http://nmrlipids.blogspot.fi for more information.
A POPC bilayer consisting of 200 lipids (100 per leaflet) 
is simulated in the presence of 940 mM NaCl. The Charmm36 
model  is employed for lipids, the Charmm compatible variant 
of the tip3p model for water, and the default Charmm
ion parameters (type SOD) for NaCl. NB-Fix used for sodium.
  The Charmm36 force field parameters were obtained from http://charmm-gui.org/
––––––––––––––––––––––––––––––––––––––––––––––––––––––
The files are in GROMACS format. Trajectory (.xtc) is 
370 ns long with data saved every 100 ps.
the initial structure (.gro), topology (.top), index file (.ndx), 
simulation paremeter file (.mdp), binary run input file 
for GROMACS v. 5.1–> (.tpr) and the energy output file 
(.edr) are provided. ",.xtc,,,,,,,,,
28,"Simulation of a POPC bilayer at 298K, lipid model by Maciejewski and Rog","['by Javanainen, Matti', 'Javanainen, Matti', 'Javanainen, Matti']","['Biophysics', 'Biochemistry', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Computational Biology']","['nbsp', 'ndash', 'Simulation', '3P', 'simulation', 'DOI', 'pp', 'default OPLS ion parameters', 'trajectory', '40 water molecules', 'lipid model', 'al', 'Rog', '298 K', 'POPC bilayer', 'Maciejewski']","Simulation of a POPC bilayer containing 128 lipids with 40 water molecules per lipid and in the absence of ions at 298 K.
The lipid model by Maciejewski and Rog [1,2] was used. Topologies (.itp) were obtained from [2]. TIP3P water was used, and the ions were modelled using default OPLS ion parameters. The simulation is 200 ns long with trajectory saved every 100 ps. Simulations were performed with Gromacs 2016.3 [3]
The trajectory (.xtc), energy file (.edr), checkpoint file (.cpt), run input file (.tpr), index file (.ndx), topology file (.top), final structure (gro), and the simulation parameter file (.mdp) are provided. 
[1] Maciejewski et al., J. Phys Chem. B 118, 2014, pp. 4571–4581, DOI: 10.1021/jp5016627 
[2] Kulig et al., Data in Brief 5, 2015, pp. 333–336, DOI: 10.1016/j.dib.2015.09.013
[3] Abraham et al., SoftwareX 1–2, 2015, pp. 19–25, DOI: 10.1016/j.softx.2015.06.001",.xtc,,,,,,,,,
