accessRights,authors,containerURI,dataTypes,dateAvailable,description,doi,externalSubjectAreas,institutions,keywords,method,publicationDate,source,title,type_cont,version
info:eu-repo/semantics/openAccess,"Favela-Rosales, Fernando",https://zenodo.org/record/159434,OTHER|DATASET,2016-12-13,"MD simulation trajectory files, for fully hydrated POPC + CHOLESTEROL bilayer (50/50 mol%) [256 POPC, 256 CHOL, 20334 WAT]. The SLIPIDS force field was used with Gromacs 4.6.3. Conditions: T=298K. 170 ns each trajectory, last 100 ns analyzed.
",10.5281/zenodo.159434,"slipids, gromacs, molecular dynamics",,"slipids, gromacs, molecular dynamics",,2016-10-05,ZENODO,"MD simulation trajectory of a lipid bilayer: 50/50 mol% POPC/Cholesterol . SLIPIDS, Gromacs 4.6.3. 2016.",article,
info:eu-repo/semantics/openAccess,"Bochicchio, Anna|Miroslav, Krepl|Fan, Yang|Gabriele, Varani|Jiri, Sponer|Paolo, Carloni",https://zenodo.org/record/1310054,OTHER|SOFTWARE_CODE|TABULAR_DATA|DATASET|TEXT|FILE_SET,2018-10-17,Trajectories and input files for the simulations of the Rbfox·pre-miR20b complex.,10.5281/zenodo.1310054,,,,,2018-07-07,ZENODO,Molecular basis for the increased affinity of an RNA recognition motif with re-engineered specificity:  A molecular dynamics and enhanced sampling simulations study- Part 3,article,
info:eu-repo/semantics/openAccess,"Bochicchio, Anna|Krepl, Miroslav|Yang, Fan|Varani, Gabriele|Sponer, Jiri|Carloni, Paolo",https://zenodo.org/record/1310053,OTHER|SOFTWARE_CODE|IMAGE|SEQUENCING_DATA|TABULAR_DATA|DATASET|TEXT|FILE_SET,2018-10-17,Trajectories and input files of the simulations of the free pre-miR20b.,10.5281/zenodo.1310053,,,,,2018-07-07,ZENODO,Molecular basis for the increased affinity of an RNA recognition motif with re-engineered specificity:  A molecular dynamics and enhanced sampling simulations study- PART 2,article,
info:eu-repo/semantics/openAccess,Stachura|Kneller,https://zenodo.org/record/61742,OTHER|DATASET,2016-09-12,"This file contains the center-of-mass coordinates of the lipid molecules in a Molecular Dynamics simulation of a hydrated lipid bilayer. The simulated system consists of 2033 POPC (1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine) molecules and 57952 water beads (equivalent to 231808 water molecules), using the coarse-grained representation of the MARTINI force field. Note that the mass of a POPC molecule is significantly higher (936 g/mol) in this representation than the mass of a real POPC molecule (760 g/mol). The simulation was performed in an NVT ensemble at T = 320 K.


This trajectory stores the short-time dynamics of the lipid centers of masses, sampled at a time step of 0.03 ps up to a total length of 300 ps. The long-time dynamics are available at http://dx.doi.org/10.5281/zenodo.61743.


For a detailed description of the simulation, see the thesis of Sławomir Stachura, available at http://www.theses.fr/2014PA066239


Two analyses of this simulation have already been published:



	
S. Stachura and G.R. Kneller Anomalous lateral diffusion in lipid bilayers observed by molecular dynamics simulations with atomistic and coarse-grained force fields Mol. Sim. 40, 245-250 (2014) (http://dx.doi.org/10.1080/08927022.2013.840902)
	
S. Stachura and G.R. Kneller Probing anomalous diffusion in frequency space J. Chem. Phys. 143, 191103 (2015) (http://dx.doi.org/10.1063/1.4936129)


This work was funded by the French&nbsp;Agence Nationale de la Recherche (Contract No. ANR- 2010-COSI-01-001).


Trajectory data


The trajectory is stored in an HDF5 file that uses the ActivePapers conventions (http://www.activepapers.org/). Any HDF5-compatible software can be used to read the trajectory data. The ActivePapers software is only required to re-use the included conversion script.


The trajectory is contained in the group
&nbsp; /data/POPC_martini_nvt


It is stored in H5MD/MOSAIC format. The positions and time labels are contained in the following datasets:
&nbsp; /data/POPC_martini_nvt/particles/universe/position/value
&nbsp; /data/POPC_martini_nvt/particles/universe/position/time


For a complete specification of the H5MD/MOSAIC format, see:
&nbsp; http://nongnu.org/h5md/index.html
&nbsp; http://mosaic-data-model.github.io/mosaic-specification/h5md_mosaic_module.html


Plots


Two 3D plots are provided to give an overview of the lipid motions:
&nbsp; /documentation/all_lipids.pdf
&nbsp; shows all the lipid center-of-mass positions once every 3 ps.
&nbsp; /documentation/one_lipids.pdf
&nbsp; shows a single lipid center of mass position every 0.3 ps.
",10.5281/zenodo.61742,POPC|ActivePapers|MARTINI|molecular dynamics,Centre de Biophysique Moléculaire|CNRS|Synchrotron Soleil|Université d'Orléans,POPC|ActivePapers|MARTINI|molecular dynamics,,2016-09-07,ZENODO,Lipid center-of-mass trajectory: short-time dynamics,article,
http://creativecommons.org/licenses/by/4.0,Joachim Weischenfeldt|Thomas Risch|Francesco Favero|Clarissa Gerhäuser|Yassen Assenov|Lars Feuerbach|Etsehiwot Girma,https://data.mendeley.com/datasets/6gtrrxrn2c,OTHER|DATASET|FILE_SET,2018-12-19,"This data is related to the following publication. Please cite when using the data.
C. Gerhauser et al., ""Molecular Evolution of Early-Onset Prostate Cancer Identifies Molecular Risk Markers and Clinical Trajectories"", 2018. Cancer Cell 34:996-1011.e8 (DOI 10.1016/j.ccell.2018.10.016).
https://www.ncbi.nlm.nih.gov/pubmed/30537516


",10.17632/6gtrrxrn2c.1,Transcriptome|Prostate Cancer|Genome,,Transcriptome|Prostate Cancer|Genome,,2018-12-19,MENDELEY_DATA,Molecular Evolution of Early-Onset Prostate Cancer Identifies Molecular Risk Markers and Clinical Trajectories,article,1
info:eu-repo/semantics/openAccess,"Favela-Rosales, Fernando",https://zenodo.org/record/546135,OTHER|DATASET,2017-10-13,"MD simulation trajectory files, for fully hydrated DPPG bilayer [288 DPPG, 11232 WAT and 288 NA ions]. The SLIPIDS force field was used with Gromacs 5.0.4. Conditions: T=298K. 400 ns trajectory, last 100 ns uploaded for analysis.",10.5281/zenodo.546135,"slipids, gromacs, molecular dynamics",,"slipids, gromacs, molecular dynamics",,2017-04-13,ZENODO,"MD simulation trajectory of a fully hydrated DPPG bilayer @298K: SLIPIDS, Gromacs 5.0.4. 2017.",article,
info:eu-repo/semantics/openAccess,"Favela-Rosales, Fernando",https://zenodo.org/record/546136,OTHER|DATASET,2017-10-13,"MD simulation trajectory files, for fully hydrated DPPG bilayer [288 DPPG, 11232 WAT and 288 NA ions]. The SLIPIDS force field was used with Gromacs 5.0.4. Conditions: T=314K. 200 ns trajectory, last 100 ns uploaded for analysis.",10.5281/zenodo.546136,"slipids, gromacs, molecular dynamics",,"slipids, gromacs, molecular dynamics",,2017-04-13,ZENODO,"MD simulation trajectory of a fully hydrated DPPG bilayer @314K: SLIPIDS, Gromacs 5.0.4. 2017.",article,
info:eu-repo/semantics/openAccess,"Favela-Rosales, Fernando",https://zenodo.org/record/495247,OTHER|DATASET,2017-10-13,"MD simulation trajectory files, for fully hydrated DPPE bilayer [288 DPPE, 9386 WAT]. The SLIPIDS force field was used with Gromacs 5.0.4. Conditions: T=336K. 200 ns trajectory, last 100 ns uploaded for analysis.",10.5281/zenodo.495247,"slipids, gromacs, molecular dynamics",,"slipids, gromacs, molecular dynamics",,2017-04-06,ZENODO,"MD simulation trajectory of a fully hydrated DPPE bilayer: SLIPIDS, Gromacs 5.0.4. 2017.",article,
info:eu-repo/semantics/openAccess,"Favela-Rosales, Fernando",https://zenodo.org/record/546133,OTHER|DATASET,2017-10-13,"MD simulation trajectory files, for fully hydrated POPG bilayer [288 POPG, 10664 WAT and 288 NA ions]. The SLIPIDS force field was used with Gromacs 5.0.4. Conditions: T=298K. 250 ns trajectory, last 100 ns uploaded for analysis.",10.5281/zenodo.546133,"slipids, gromacs, molecular dynamics",,"slipids, gromacs, molecular dynamics",,2017-04-13,ZENODO,"MD simulation trajectory of a fully hydrated POPG bilayer: SLIPIDS, Gromacs 5.0.4. 2017.",article,
info:eu-repo/semantics/openAccess,"Favela-Rosales, Fernando",https://zenodo.org/record/495510,OTHER|DATASET,2017-10-13,"MD simulation trajectory files, for fully hydrated DOPS bilayer [288 DOPS, 11232 WAT and 288 NA ions]. The SLIPIDS force field was used with Gromacs 5.0.4. Conditions: T=303K. 200 ns trajectory, last 100 ns uploaded for analysis.",10.5281/zenodo.495510,"slipids, gromacs, molecular dynamics",,"slipids, gromacs, molecular dynamics",,2017-04-07,ZENODO,"MD simulation trajectory of a fully hydrated DOPS bilayer: SLIPIDS, Gromacs 5.0.4. 2017.",article,
info:eu-repo/semantics/openAccess,"Favela-Rosales, Fernando",https://zenodo.org/record/62026,OTHER|DATASET,2016-09-14,"MD simulation trajectory files, for fully hydrated POPC + CHOLESTEROL bilayer (70/30 mol%) [358 POPC, 154 CHOL, 21183 WAT]. The SLIPIDS force field was used with Gromacs 4.6.3. Conditions: T=298K. 170 ns each trajectory, last 100 ns analyzed.
",10.5281/zenodo.62026,"slipids, gromacs, molecular dynamics",,"slipids, gromacs, molecular dynamics",,2016-09-10,ZENODO,"MD simulation trajectory of a lipid bilayer: 70/30 mol% POPC/Cholesterol . SLIPIDS, Gromacs 4.6.3. 2016.",article,
https://www.elsevier.com/about/policies/open-access-licenses/elsevier-user-license/cpc-license/,Peter Krüger|Mathias Lüke|Angelika Szameit,https://data.mendeley.com/datasets/mj9yyy95jv,DATASET|FILE_SET,1991-01-01,"Abstract 
 SIMLYS is a tool to aid in the analysis of molecular dynamics, Monte Carlo and other simulations. Its purpose is twofold: it is a system performing the actual analysis and it serves as a shell to integrate new analysis functions. SIMLYS allows one to analyse the results from various simulations, as for example from proteins or polymers, by using the trajectories. The program is separated into modules performing the input/output, building the interface to the user, preparing the coordinates an...
 
 Title of program: SIMLYS
 Catalogue Id: ABZD_v1_0
 
 Nature of problem 
 The trajectories of molecular dynamics simulations are generally saved in form of atomic coordinates. Using the coordinates and velocities static and dynamic quantities can be calculated, as for example positional differences, fluctuations or a time series of angle movements.
 
 Versions of this program held in the CPC repository in Mendeley Data
 ABZD_v1_0; SIMLYS; 10.1016/0010-4655(91)90108-W
 ABZD_v2_0; SIMLYS 2.0; 10.1016/0010-4655(92)90153-P
 
 This program has been imported from the CPC Program Library held at Queen's University Belfast (1969-2018)",10.17632/mj9yyy95jv.1,Surface Science|Condensed Matter Physics|Biological Sciences|Computational Physics|Molecular Biology,,Surface Science|Condensed Matter Physics|Biological Sciences|Computational Physics|Molecular Biology,,1991-01-01,MENDELEY_DATA,SIMLYS — a software package for trajectory analysis of molecular dynamics simulations ,article,1
